Comment,Sentiment
"Enroll in Free Data Analytics Complete course to get Notes, Code Files &amp; Projects <br><a href=""https://www.theiscale.com/course-details/free-data-analytics-course"">https://www.theiscale.com/course-details/free-data-analytics-course</a><br><br>For any doubt connect in WhatsApp with us: <a href=""https://wa.me/917880113112"">https://wa.me/917880113112</a>",Positive
really appreciate your struggle to teach students sister,Positive
"vs code, Intelij Idea, jupitar notebook",Neutral
Hi ma&#39;am,Neutral
"Mam, jese aapne 2023 me Data analyst ka full course bnaya tha.<br>Ab bhi 2026 me bna do kyuki ab bhut kuch change hua hai.<br>Jisme python, excel, powerbi, sql or statistics bhu ho.",Positive
Need coupon code during enrol plzz give me coupon code mam,Neutral
Kon kon 2026 me dekhne aya hau😂,Neutral
"Aamir Inayat Khan MS English, teacher ,how AI can help me in my field?",Neutral
Hi Mam Machine learning aur Artificial Intelligence ke leye better hai ye Python course please boleye.,Negative
स्टॉक मार्केट की डाटा एनालिसिस के बारे में बताएं ताकि हमइंट्राडे कर सकें,Neutral
❤ मैं आप हिंदी में क्यों क्लास नहीं लेते कृपया हिंदी में गिलास ले हम जैसे अनपढ़ भी होते हैं,Neutral
Can get this in english,Neutral
hello muje isme desktop nhi dikhai dera hai???,Neutral
internship and training for data analyst  ka notification bhi aayega,Neutral
Thak you mem ❤,Neutral
English jaruri hai but mujhe nahi aata,Neutral
Jupitarlunchhibni ho rha h,Neutral
maam the app sking for coupon for the notes so provide me code please,Neutral
Your teaching experience is excellent mam ❤❤,Positive
Mam I am 12th class students I am learning python.please help me in coding,Neutral
Thanks mam best learning platform 🎉,Positive
Excellent job. Great,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤i am the very excited about this course ❤❤❤❤❤❤❤❤,Positive
I am a huge fan of iscale. Very very good way of teaching.,Positive
Join krne se kya kuch adhik jankari milte hai,Neutral
app name get changed ?? it shows &quot;the iscale&quot;,Neutral
Excelllent ❤,Neutral
Good one👍,Positive
"i have watched many videos regarding Data Analyst, but finally I have found the right one , your simple hindi and explanation too good to learn, thanks for sharing us this valuable course. May God Bless You!!",Positive
Thankyou for such great python basic class,Positive
"I am notable to launch Jupter Notebook, Please me out..",Positive
"I am notable to launch Jupter Notebook, Please me out....",Positive
this course is valid rigt now due to day to day changes,Negative
after this course can i crack fresher data analyst jobs,Neutral
Hello mam I have completed my graduation in b.a steam kya m y course kr sekti hu mam plz reply my question kya isme Mera aage scope hoga ......?,Neutral
Not able to install anaconda .. getting this error &quot;failed to extract packages&quot;,Negative
mam mein bas apko dekhne ke liye aya tha iss video mein aur itna helpful laga ki mujhe bahut help hui apne coding mein,Neutral
"Mam aap ny jis Tarah ye anaconda install kiya, yeo wala site humain q nahi ata, plz share a link if possible",Neutral
Python is easy but slow.,Positive
Day 1,Neutral
"i have heard about IDEs (jupiter, Visual studio code and Pycharm).",Neutral
Notes not found?,Neutral
Hello mam  mai samsung phone mai python kaise install karu,Neutral
Hi mam mai art student hu kya me python karke job kar sakti hu,Neutral
how can I get free certificate?,Positive
Ma&#39;am application me Notes available nahi hai 😢,Positive
"It was an amazing, interesting, and enjoyable class. As it was my first Python class and I did not have any basic or fundamental idea about Python, I was a bit nervous initially. But the class made everything easy to understand, and I genuinely enjoyed learning.<br><br>A heartfelt thanks to the iSCALE team, and a special thanks to ma&#39;am for her clear and patient teaching. ❤🙏",Positive
Code Mai heading ka option nahi arha hai,Neutral
Kya python koi bhi graduate seekh skta hai,Neutral
Can I get the job of data analytics after this,Neutral
Eska certificate kaha se le free mein,Positive
Absolutely gorgeous lecture mam thank you so much ma&#39;am,Positive
Very Excellent First session,Positive
Starting on 15th june(will complete in 15 days),Positive
Excellent. you are a born teacher. I can just pray for you. I am old near retirement but want to learn python and this channel is the best source.,Positive
